topic_id,label,growth_pct,mots_cles,categorie,volume,confidence,tendance,growth_rate
6,"Video generation, Video model & Video language",94.0,"video, generation, models, memory, while",cs.CV,94,75,Croissance forte,0.94
7,Linear code & Additive code,94.0,"codes, over, linear, codes., code",cs.IT,94,75,Croissance forte,0.94
11,Bandit algorithm & Linear bandit,76.0,"regret, bandit, online, where, bandits",cs.LG,76,75,Croissance forte,0.76
13,Clinical documentation & Clinical information,73.0,"clinical, medical, models, across, reasoning",cs.CL,73,75,Croissance forte,0.73
14,Automate driving & Autonomous drive,71.0,"driving, autonomous, safety, framework, trajectory",cs.RO,71,75,Croissance forte,0.71
15,Reward modeling & Reward model,67.0,"reward, reinforcement, reasoning, models, rewards",cs.LG,67,75,Croissance forte,0.67
18,Robotic hand & Robot hand,58.0,"dexterous, manipulation, hand, across, grasp",cs.RO,58,75,Croissance forte,0.58
19,Code generation & Programming language,58.0,"code, models, language, generation, llms",cs.SE,58,75,Croissance forte,0.58
20,Camera lidar & Lidar camera,57.0,"lidar, perception, autonomous, point, detection",cs.CV,57,75,Croissance forte,0.57
22,Humanoid control & Humanoid motion,55.0,"humanoid, motion, whole-body, policy, control",cs.RO,55,75,Croissance forte,0.55
21,"Diffusion language, Diffusion sampler & Diffusion model",55.0,"diffusion, models, latent, score, sampling",cs.LG,55,75,Croissance forte,0.55
24,"Causal discovery, Discover causal & Causal modeling",50.0,"causal, discovery, models, which, structural",cs.LG,50,75,Croissance modérée,0.5
25,Differential privacy & Privacy dp,49.0,"privacy, private, differential, under, differentially",cs.LG,49,75,Croissance modérée,0.49
26,Shannon entropy & Entropy maximize,44.0,"entropy, information, under, inequality, prove",cs.IT,44,75,Croissance modérée,0.44
28,Mri image & Imaging mri,42.0,"brain, clinical, diffusion, framework, imaging",cs.CV,42,75,Croissance modérée,0.42
